"sample_id","ph","soil_c","soil_n","soil_c_n_ratio","soil_p","clay_silt","latitude","longitude"
"122",7.11,5.535,0.313,17.684,536.158,87.4,-35.3523,144.52706
"123",5.68,6.18,0.404,15.3,868.929,70,52.04949371,-2.285400608
"124",6.34,7.437,0.34,21.895,1274.008,70,52.17127185,-2.067171822
"125",6.5,7.771,0.329,23.593,863.045,70,52.243108,-2.0793194
"126",6.86,7.882,0.395,19.943,837.23,70,52.249886,-2.0077184
"127",6.03,6.603,0.384,17.215,995.873,70,52.281878,-2.0332443
"138",5.55,4.044,0.613,6.593,698.572,70,51.065861,-2.9004561
"145",6.71,8.111,0.743,10.917,1220.558,85,54.168173,-2.3406767
"149",4.74,4.679,0.257,18.221,1313.232,80,50.808636,-3.875976
"151",5.18,4.356,0.188,23.196,1406.946,85,50.835199,-4.427518
"160",4.72,9.09,0.283,32.118,1805.822,30,52.440139,0.81922022
"165",7.62,2.943,0.442,6.657,1375.246,70,51.814047,-2.0036085
"172",6.759,0.697,0.057,12.228,987.911,9.504,-41.807778,-69.676417
"173",6.5,2.179,0.19,11.481,1529.923,33.871,-41.004278,-71.059489
"174",6.976,1.458,0.119,12.276,924.021,28.695,-41.253333,-70.080944
"175",6.832,0.914,0.078,11.729,882.865,26.361,-41.0335,-70.524528
"176",7.487,2.061,0.204,10.118,233.457,22.826,-34.204296,142.556909
"177",6.78,1.124,0.073,15.403,178.518,21.496,-34.24777,142.481679
"178",7.398,1.365,0.094,14.572,204.508,26.13,-34.018527,142.508839
"179",7.082,1.021,0.1,10.213,189.702,13.704,-33.960183,142.460103
"180",7.297,1.385,0.113,12.285,215.726,22.755,-33.931135,142.686154
"181",6.818,1.951,0.132,14.804,315.811,41.887,-31.556111,146.309722
"182",6.257,2.633,0.202,13.009,778.903,72.111,-31.8575,147.707778
"183",7.758,0.317,0.039,8.194,253.5,28.888,-29.311377,-71.244902
"184",7.288,0.873,0.125,6.988,1051.895,24.523,-29.749902,-71.250724
"185",6.742,0.946,0.103,9.209,1035.068,15.083,-30.662263,-71.663635
"186",6.608,1.41,0.128,11.039,215.71,29.448,-31.199813,-71.585444
"187",6.627,2.651,0.305,8.685,691.922,38.157,49.262694,119.177417
"188",6.707,1.581,0.146,10.803,337.777,18.105,49.494333,118.403778
"189",6.672,2.699,0.259,10.441,737.783,31.941,49.525333,117.272139
"190",7.098,2.18,0.225,9.673,686.402,33.778,49.031528,116.994528
"191",7.118,2.034,0.188,10.81,640.654,34.219,48.609778,116.786556
"192",7.124,1.174,0.13,9.066,427.572,25,48.223083,116.015833
"193",7.427,2.691,0.191,14.06,1165.825,77.301,36.696167,58.6695
"194",7.752,1.432,0.119,11.997,986.384,74.833,37.371111,56.560944
"195",7.756,0.918,0.066,13.859,685.837,50.327,37.429083,58.109556
"196",8.024,1.795,0.177,10.15,463.779,51.164,31.35779,34.820866
"197",8.008,3.316,0.336,9.88,677.904,58.036,22.246529,-99.655561
"198",8.312,2.027,0.215,9.413,603.83,51.875,23.601688,-100.943528
"199",8.43,2.142,0.214,10.012,812.818,55.592,22.644511,-100.420636
"200",8.412,2.296,0.235,9.762,971.796,72.949,22.64831,-99.894557
"201",8.15,2.464,0.449,5.491,691.945,43.142,23.254883,-101.055406
"202",8.024,2.201,0.256,8.601,563.99,35.88,23.204697,-101.273809
"203",8.343,1.571,0.182,8.64,395.872,48.398,23.737999,-101.248559
"204",6.954,1.934,0.241,8.01,227.693,33.815,22.352438,-102.455579
"205",8.446,0.641,0.044,14.721,194.948,12.994,33.052487,-2.422588
"206",8.134,2.523,0.24,10.495,612.576,36.965,34.159182,-2.372904
"207",8.154,2.518,0.22,11.445,700.929,43.569,34.430867,-2.192604
"208",8.326,1.239,0.155,7.979,499.732,43.557,33.976574,-3.373502
"209",8.214,1.123,0.13,8.659,564.169,77.602,34.473045,-3.638859
"210",8.31,2.38,0.242,9.853,703.166,41.576,34.309672,-1.999301
"211",8.046,0.874,0.081,10.834,248.073,22.138,33.932621,-3.558751
"212",8.46,0.831,0.073,11.315,236.019,62.519,33.06768,-2.728708
"213",7.992,2.995,0.237,12.629,413.761,47.864,34.625548,-3.464915
"214",8.1,2.794,0.232,12.031,445.097,40.815,39.048208,-2.2306
"215",7.694,4.051,0.388,10.44,389.829,51.066,40.068228,-2.900725
"216",8.024,3.055,0.311,9.837,342.744,45.577,40.208781,-3.419164
"217",8.068,2.332,0.27,8.64,409.954,50.606,39.992036,-3.618947
"218",7.562,2.484,0.231,10.748,281.793,47.598,37.821156,-1.673747
"219",8.012,2.796,0.35,7.982,524.129,39.581,39.207539,-2.514767
"220",8.106,3.619,0.345,10.491,326.411,40.629,38.588606,-1.199478
"221",7.598,2.975,0.304,9.79,277.612,25.717,40.354792,-2.877436
"222",8.248,2.792,0.28,9.974,534.057,34.594,38.791855,-1.717695
"223",8.554,1.412,0.104,13.619,477.918,17.798,37.721332,-1.836988
"224",8.102,3.715,0.269,13.808,420.103,39.528,37.726728,-1.784601
"225",8.311,4.428,0.401,11.037,514.94,60.216,38.308579,-0.963246
"226",8.217,2.996,0.187,15.998,333.031,50.778,40.36936,-3.388677
"227",8.362,1.679,0.185,9.062,1118.847,56.613,37.593066,-1.232379
"228",8.202,3.645,0.287,12.717,532.57,47.413,39.538668,-1.802287
"229",8.176,3.375,0.135,25.087,253.332,47.583,38.065532,-1.527039
"230",8.279,4.29,0.335,12.811,438,47.706,39.127509,-2.345141
"231",8.366,2.031,0.14,14.537,201.896,46.7,40.018028,-2.879354
"232",8.434,1.54,0.154,9.974,209.924,26.3,37.6339,-2.039614
"233",8.352,1.131,0.108,10.494,359.456,39.68,34.494253,9.647121
"234",8.308,2.43,0.201,12.101,412.685,44.417,35.167767,8.673783
"235",8.37,0.81,0.072,11.244,281.085,29.381,33.52157,9.97436
"236",8.556,1.243,0.117,10.583,234.606,43.336,35.160036,9.116646
"237",8.344,1.715,0.163,10.513,469.6,44.959,34.956452,9.717897
"238",8.68,0.147,0.02,7.384,85.303,13.605,32.98347,10.498595
