Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
AB003623,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Roseateles_592282,Roseateles depolymerans,1.0
AB006164,Bacteria,Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Sporichthya,Sporichthya brevicatena,1.0
AB006167,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Virgisporangium,Virgisporangium myanmarense,1.0
AB006851,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Mitsuaria_592248,Mitsuaria chitosanitabida,1.0
AB016985,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Leifsonia_A_381664,Leifsonia_A_381664 cynodontis,1.0
AB017203,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Kaistiaceae_504716,Prosthecomicrobium,Prosthecomicrobium pneumaticum,1.0
AB018046,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Microbispora_A,Microbispora_A rosea,1.0
AB018439,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 oligophenolica,1.0
AB019582,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter_A_615989,Lysobacter_A_615989 antibioticus,1.0
AB020031,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Umezawaea,Umezawaea tangerina,1.0
AB021183,Bacteria,Bacillota_I,Bacilli_A,Paenibacillales,NBRC-103111,Paenibacillus_F_363168,Paenibacillus_F_363168 chitinolyticus,1.0
AB021391,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudomonas_S,Pseudomonas_S boreopolis,1.0
AB021393,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Xanthobacteraceae,Afipia,Afipia felis,1.0
AB021398,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_E_647464,Pseudomonas_E_647464 ficuserectae,1.0
AB021407,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Pelomonas,Pelomonas saccharophila,1.0
AB024312,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia vinacea,1.0
AB024701,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Catenuloplanes,Catenuloplanes crispus,1.0
AB025013,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Novosphingobium,Novosphingobium sp900117425,1.0
AB025317,Bacteria,Actinomycetota,Actinomycetes,Sporichthyales,Sporichthyaceae,Sporichthya,Sporichthya polymorpha,1.0
AB025318,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Herbidospora,Acrocarpospora macrocephala,1.0
AB033328,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Erythrobacter_484373,Erythrobacter tepidarius,1.0
AB036996,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,1.0
AB036999,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes rectilineatus,1.0
AB037000,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes friuliensis,1.0
AB037003,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,1.0
AB037005,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes rectilineatus,1.0
AB037011,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes regularis,1.0
AB039961,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea_394555,Nonomuraea candida,1.0
AB047498,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes nipponensis,1.0
AB049195,Bacteria,Bacillota_I,Bacilli_A,Bacillales_B_310392,Bacillaceae_G,Ectobacillus,Ectobacillus funiculus,1.0
AB049939,Bacteria,Bacillota_I,Bacilli_A,Thermoactinomycetales_367745,Thermoactinomycetaceae_367745,Shimazuella,Shimazuella alba,1.0
AB055863,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 aquatilis,1.0
AB062751,Bacteria,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,CG2-30-53-67,Haliangium tepidum,1.0
AB073203,Bacteria,Bacillota_I,Bacilli_A,Paenibacillales,NBRC-103111,Paenibacillus_G_363728,Paenibacillus_G_363728 filicis,1.0
AB078049,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga filiformis,1.0
AB078055,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga rupis,1.0
AB081581,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium palustre,1.0
AB087721,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Nocardioides_A_392796 aromaticivorans,1.0
AB089840,Bacteria,Bacillota_I,Bacilli_A,Alicyclobacillales,Alicyclobacillaceae_368324,Alicyclobacillus_A_368322,Alicyclobacillus_A pomorum,1.0
AB098515,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Beijerinckiaceae,Microvirga,Microvirga flocculans,1.0
AB107231,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Micromonospora_H_372070 rosaria,1.0
AB107233,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinocatenispora,Actinocatenispora sera,1.0
AB109209,Bacteria,Bacillota_I,Bacilli_A,Bacillales_B_306087,DSM-1321,Peribacillus_A_301373,Peribacillus_A_301373 asahii,1.0
AB109437,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila,1.0
AB109887,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650611,Pseudomonadaceae,Pseudomonas_F_650324,Pseudomonas_F_650324 furukawaii,1.0
AB110498,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella_B,Dyella_B jiangningensis,1.0
AB112081,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Asanoa,Asanoa iriomotensis,1.0
AB115964,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,PCC-9333,Crinalium,Crinalium epipsammum,1.0
AB161360,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,SCMT01,SCMT01 sp011526085,1.0
AB161361,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter_A_615989,Lysobacter_A_615989 antibioticus,1.0
AB162801,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia vinacea,1.0
AB166881,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium sp002256425,1.0
AB166882,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,Azonexus caeni,1.0
AB166883,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 soli,1.0
AB174844,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter_A_608626,Steroidobacter_A_608626 soli,1.0
AB175638,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Beijerinckiaceae,Methylobacterium,Methylobacterium organophilum,1.0
AB180773,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Catenulisporaceae,Catenulispora,Catenulispora acidiphila,1.0
AB184072,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces flaveus,1.0
AB184160,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces sp000721265,1.0
AB184188,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces cadmiisoli,1.0
AB184219,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces cadmiisoli,1.0
AB184307,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces alboflavus,1.0
AB184326,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces parvulus,1.0
AB184402,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces physcomitrii,1.0
AB184445,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces clavuligerus,1.0
AB184574,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces physcomitrii,1.0
AB184624,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces sp001011035,1.0
AB184722,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Streptoalloteichus,Streptoalloteichus tenebrarius,1.0
AB184728,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces sp001509795,1.0
AB184789,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces hiroshimensis,1.0
AB184843,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces physcomitrii,1.0
AB192292,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,VBAT01,Terrimonas lutea,1.0
AB193559,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Micromonospora_H_372070 rosaria,1.0
AB193565,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Micromonospora_H_372070 siamensis,1.0
AB194302,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Amantichitinum,Silvimonas terrae,1.0
AB200231,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Catellatospora,Catellatospora chokoriensis,1.0
AB200232,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Catellatospora,Catellatospora sichuanensis,1.0
AB200233,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Catellatospora,Catellatospora chokoriensis,1.0
AB223089,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Polymorphospora rubra,1.0
AB231946,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Beijerinckiaceae,Alsobacter,Alsobacter soli,1.0
AB234027,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 saccharophilum,1.0
AB236169,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Labraceae,Labrys,Labrys sp001676615,1.0
AB236956,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Couchioplanes caeruleus_372248,1.0
AB243007,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Smaragdicoccus,Smaragdicoccus niigatensis,1.0
AB243672,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,Bellilinea caldifistulae,1.0
AB245334,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter soli,1.0
AB245347,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomicrobium_483192,Sphingomicrobium astaxanthinifaciens_A,1.0
AB245352,Bacteria,Pseudomonadota,Alphaproteobacteria,DSM-16000,Inquilinaceae,Inquilinus,Inquilinus ginsengisoli,1.0
AB245353,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingopyxis_485592,Sphingopyxis sp001427085,1.0
AB245355,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Polaromonas,Polaromonas sp002001015,1.0
AB245356,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,LMDS01,LMDS01 sp001425865,1.0
AB245358,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Variovorax,Variovorax rhizosphaerae,1.0
AB245359,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas_D,Luteimonas_E_615467 panaciterrae,1.0
AB245362,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella_A,Dokdonella_A sp002632325,1.0
AB245363,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter_B,Lysobacter_B ginsengisoli,1.0
AB245367,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella_B,Dyella_A ginsengisoli,1.0
AB245369,Bacteria,Bacteroidota,Bacteroidia,Cytophagales_B,Spirosomataceae,Dyadobacter_906144,Dyadobacter tibetensis,1.0
AB245370,Bacteria,Bacteroidota,Bacteroidia,Cytophagales_B,Spirosomataceae,Emticicia,Emticicia sp002855535,1.0
AB245371,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter_B_887417,Pedobacter_B_887417 ginsengisoli,1.0
AB245375,Bacteria,Bacillota_I,Bacilli_A,Tumebacillales,Unassigned,Unassigned,Tumebacillus ginsengisoli,1.0
AB245387,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp001428805,1.0
AB245388,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces ovatisporus,1.0
AB245389,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus_A_391020,Microlunatus_A_391020 ginsengisoli,1.0
AB245391,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella flavida,1.0
AB245395,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp001423335,1.0
AB248875,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 lacticum,1.0
AB249951,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces atroolivaceus,1.0
AB249974,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces milbemycinicus,1.0
AB251884,Bacteria,Bacteroidota,Bacteroidia,Cytophagales_B,Hymenobacteraceae,Hymenobacter_910554,Hymenobacter terrenus,1.0
AB252200,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Beijerinckiaceae,Methylobacterium,Methylobacterium gregans,1.0
AB257720,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Panacagrimonas,Panacagrimonas perspica,1.0
AB258386,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_R_483261,Sphingomonas_R_483261 sediminicola,1.0
AB264086,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Spirillospora_393771,Spirillospora madurae,1.0
AB264798,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga jiangningensis,1.0
AB266389,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales_598058,Thioprofundaceae,Thioprofundum,Thioprofundum lithotrophicum,1.0
AB267478,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter koreensis,1.0
AB267715,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,Olivibacter domesticus,1.0
AB267716,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,Olivibacter ginsengisoli,1.0
AB267718,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter_A,Mucilaginibacter_A pineti,1.0
AB268586,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Cellulomonas_A,Cellulomonas_A fimi,1.0
AB271051,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Microlunatus_C,Microlunatus_C panaciterrae,1.0
AB271053,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Nocardioides_A_392796 terrae,1.0
AB271055,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter_487784,Caulobacter ginsengisoli,1.0
AB271738,Bacteria,Bacillota_I,Bacilli_A,Bacillales_A,Planococcaceae,Kurthia,Kurthia gibsonii,1.0
AB273624,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides_A_392796,Nocardioides_A_392796 sp001428125,1.0
AB275607,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Micromonospora_I pattaloongensis,1.0
AB278552,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Leifsonia_A_381664,Leifsonia_A_381664 lichenia,1.0
AB279547,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus lahaulensis,1.0
AB284261,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinosynnema_379791,Actinosynnema espanaense,1.0
AB285481,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Rhizobiaceae,Shinella,Shinella yambaruensis,1.0
AB286023,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Dermatophilaceae,Janibacter_A_390549,Janibacter_A_390549 hoylei,1.0
AB286030,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Microbacterium_A_383321,Microbacterium_A_383321 lacticum,1.0
AB297501,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Falsiroseomonas_507050,Falsiroseomonas tokyonensis,1.0
AB300597,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Variovorax,Variovorax paradoxus_C,1.0
AB302183,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Couchioplanes caeruleus_372248,1.0
AB302929,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Beijerinckiaceae,Methylobacterium,Methylobacterium nodulans,1.0
AB303366,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Tanticharoenia,Ameyamaea chiangmaiensis,1.0
AB305640,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Prosthecobacter sp002279765,1.0
AB327250,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Catenulisporaceae,Catenulispora,Catenulispora acidiphila,1.0
AB327254,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis_D_380240,Amycolatopsis taiwanensis,1.0
AB331652,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Spirillospora_393771,Spirillospora madurae,1.0
AB331730,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Spirillospora_393771,Spirillospora madurae,1.0
AB360343,Bacteria,Actinomycetota,Acidimicrobiia_401430,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,Ilumatobacter_A fluminis,1.0
AB360448,Bacteria,Actinomycetota,Acidimicrobiia_401430,Acidimicrobiales,JACDCH01,VFJN01,Iamia majanohamensis,1.0
AB362219,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidocella,Acidocella facilis,1.0
AB364579,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Actinoallomurus,Actinoallomurus bryophytorum,1.0
AB364583,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Actinoallomurus,Actinoallomurus bryophytorum,1.0
AB364584,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Actinoallomurus,Actinoallomurus bryophytorum,1.0
AB364586,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Actinoallomurus,Actinoallomurus bryophytorum,1.0
AB365487,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium electricum,1.0
AB369258,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Falsiroseomonas_507050,Falsiroseomonas algicola,1.0
AB370111,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium kyorinense,1.0
AB374385.1.1523,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Caldora,Caldora sp010672925,1.0
AB381939,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinosynnema_379856,Saccharothrix xinjiangensis,1.0
AB428568,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Sphingomonas_L_486704,Sphingomonas_L_486704 sp001421785,1.0
AB436534,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Georgenia_386172,Georgenia ruanii,1.0
AB445454,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Friedmanniella,Friedmanniella luteola,1.0
AB445455,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Friedmanniella,Friedmanniella flava,1.0
AB447488,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinokineospora_380129,Actinokineospora auranticolor,1.0
AB447489,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinokineospora_380129,Actinokineospora alba,1.0
AB454379,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Plantactinospora,Plantactinospora siamensis,1.0
AB455238,Bacteria,Bacillota_E,Symbiobacteriia,Symbiobacteriales,Symbiobacteriaceae,Symbiobacterium,Symbiobacterium thermophilum,1.0
AB455239,Bacteria,Bacillota_E,Symbiobacteriia,Symbiobacteriales,Symbiobacteriaceae,Symbiobacterium,Symbiobacterium terraclitae,1.0
AB455265,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Flavobacterium,Flavobacterium noncentrifugens,1.0
AB455532,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Beutenbergiaceae,Litorihabitans,Serinibacter salmoneus,1.0
AB462291,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Spirillospora_393771,Spirillospora madurae,1.0
AB468943,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Actinoplanes,Actinoplanes globisporus,1.0
AB469786,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Herminiimonas_567389,Herminiimonas arsenicoxydans,1.0
AB469788,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Herminiimonas_567389,Herminiimonas arsenicoxydans,1.0
AB473554,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces gamaensis,1.0
AB473555,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces sp001011035,1.0
AB473556,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces ovatisporus,1.0
AB473557,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces rubrus,1.0
AB486355.1.1333,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Kordiimonadaceae,Kordiimonas,Kordiimonas sp002401685,1.0
AB489859,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Longispora,Longispora urticae,1.0
AB489904,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Oerskovia,Luteimicrobium subarcticum,1.0
AB490769,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Micromonospora_H_372070,Phytohabitans suffuscus,1.0
AB498741,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales_400645,Streptomycetaceae_400641,Streptomyces_400150,Streptomyces cadmiisoli,1.0
AB510913,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Constrictibacter,Constrictibacter antarcticus,1.0
AB511316,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Actinophytocola,Actinophytocola xinjiangensis,1.0
AB512142,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Herminiimonas_567389,Herminiimonas arsenicoxydans,1.0
AB512285,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Angustibacteraceae,Angustibacter,Angustibacter sp001426435,1.0
AB513180,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Paraburkholderia_580243,Paraburkholderia acidipaludis,1.0
AB514449,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia asaccharolytica,1.0
