Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-2-barcode65-umi75096bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi75451bins-ubs-9,Bacteria,Pseudomonadota,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella_A,Unassigned,1.0
MJ030-2-barcode65-umi75537bins-ubs-7,Bacteria,Bdellovibrionota_473306,FAC87,UBA2466,UBA2466,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi75717bins-ubs-8,Bacteria,Desulfobacterota_G_459544,SM23-61,SM23-61,SM23-61,SM23-61,Unassigned,1.0
MJ030-2-barcode65-umi75790bins-ubs-7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi75940bins-ubs-7,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,SHXO01,SHXO01,Unassigned,1.0
MJ030-2-barcode65-umi76026bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,Sulfotelmatobacter sp003166855,1.0
MJ030-2-barcode65-umi7681bins-ubs-54,Bacteria,Bacillota_I,Bacilli_A,Bacillales_B_306087,DSM-1321,Peribacillus_A_301373,Peribacillus_A_301373 asahii,1.0
MJ030-2-barcode65-umi7682bins-ubs-54,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi76990bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Gp1-AA117,Angelobacter,Angelobacter sp003223515,1.0
MJ030-2-barcode65-umi769bins-ubs-156,Bacteria,Bdellovibrionota_473306,Bdellovibrionia,Bdellovibrionales,Unassigned,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi771bins-ubs-150,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi77480bins-ubs-6,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,QHXM01,QHXM01 sp003222945,1.0
MJ030-2-barcode65-umi77845bins-ubs-7,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi78223bins-ubs-11,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,JABFSC01,JABFSC01 sp009692435,1.0
MJ030-2-barcode65-umi7834bins-ubs-61,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A_595421,Telluria_573210,Unassigned,1.0
MJ030-2-barcode65-umi79087bins-ubs-6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter_A,Mucilaginibacter_A ginsenosidivorans,1.0
MJ030-2-barcode65-umi79191bins-ubs-6,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ilyomonas,Ilyomonas limi,1.0
MJ030-2-barcode65-umi79255bins-ubs-6,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,Bog-257 sp003152695,1.0
MJ030-2-barcode65-umi79320bins-ubs-6,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,Unassigned,1.0
MJ030-2-barcode65-umi79462bins-ubs-6,Bacteria,Bdellovibrionota_473306,UBA1018,UBA1018,UBA1018,GWA1-52-35,GWA1-52-35 sp001769805,1.0
MJ030-2-barcode65-umi79870bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Unassigned,Unassigned,1.0
MJ030-2-barcode65-umi80353bins-ubs-7,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Gp1-AA122,Unassigned,1.0
