fold,j,evr,method,split
13,3,0.38771123354377024,PCA,train
13,3,0.24084481147271397,PCA,test
14,1,0.06515440513398947,CCA,train
14,1,0.07038713386100769,CCA,test
14,1,0.22412979277429287,PCA,train
14,1,0.15381886203798964,PCA,test
14,2,0.07865809966604001,CCA,train
14,2,0.08673331195232586,CCA,test
14,2,0.33176307479236533,PCA,train
14,2,0.19881394665289495,PCA,test
14,3,0.10261228426380023,CCA,train
14,3,0.12522161774459553,CCA,test
14,3,0.38863499803423707,PCA,train
14,3,0.28528223626971483,PCA,test
15,1,0.06758322947765381,CCA,train
15,1,0.04689292215353914,CCA,test
15,1,0.2196157827746486,PCA,train
15,1,0.1997701634417648,PCA,test
15,2,0.08072555910401193,CCA,train
15,2,0.05288885790646129,CCA,test
15,2,0.3173548406662016,PCA,train
15,2,0.33112561987211103,PCA,test
15,3,0.10882073185119959,CCA,train
15,3,0.05581183284756982,CCA,test
15,3,0.383503483854081,PCA,train
15,3,0.3380383469416731,PCA,test
