"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,7,1e-04,0,5,0.999999999998713,0.797584994966498
15,8,1e-04,0,1,0.999999999989443,0.948708280570931
15,8,1e-04,0,2,0.999999999998904,0.691695796659685
15,8,1e-04,0,3,0.993171873996817,0.713979187307137
15,8,1e-04,0,4,0.999999999996405,0.827069724911937
15,8,1e-04,0,5,0.999999999998846,0.596054339026916
15,9,1e-04,0,1,0.999999999989321,0.843991499191284
15,9,1e-04,0,2,0.999999999999043,0.648776291084132
15,9,1e-04,0,3,0.993213794833116,0.681509286089533
15,9,1e-04,0,4,0.999999999997,0.671782973593037
15,9,1e-04,0,5,0.999999999998892,0.862963372431182
15,10,1e-04,0,1,0.999999999990476,0.817702820976898
15,10,1e-04,0,2,0.999999999998885,0.726521688104333
15,10,1e-04,0,3,0.99300934117086,0.710462371704614
15,10,1e-04,0,4,0.999999999996382,0.714112147798114
15,10,1e-04,0,5,0.999999999998793,0.504390488853627
15,11,1e-04,0,1,0.999999999990115,0.797564830218453
15,11,1e-04,0,2,0.999999999999048,0.81004670995611
15,11,1e-04,0,3,0.993162742631794,0.679065880979524
15,11,1e-04,0,4,0.999999999997185,-0.0792938996515867
15,11,1e-04,0,5,0.999999999998654,0.715577521077356
15,12,1e-04,0,1,0.999999999989443,0.881749560017668
15,12,1e-04,0,2,0.999999999999013,0.714952737741177
15,12,1e-04,0,3,0.992992049991773,0.70373055907102
15,12,1e-04,0,4,0.999999999997259,0.851777120410967
15,12,1e-04,0,5,0.99999999999885,0.403430919801141
15,13,1e-04,0,1,0.99999999999022,0.911630852145495
15,13,1e-04,0,2,0.999999999999037,0.544222307906969
15,13,1e-04,0,3,0.992748344648642,0.859131468357606
15,13,1e-04,0,4,0.99999999999699,0.822701339243334
15,13,1e-04,0,5,0.999999999999099,0.306906554405135
15,14,1e-04,0,1,0.999999999999143,0.644683405825431
15,14,1e-04,0,2,0.999999999999071,0.747194859639548
15,14,1e-04,0,3,0.999999999998548,0.437942230985189
15,14,1e-04,0,4,0.999999999998951,0.819997553490935
15,14,1e-04,0,5,0.999999999998998,0.216968771034391
15,15,1e-04,0,1,0.999999999990824,0.862140731138768
15,15,1e-04,0,2,0.999999999999157,0.71393309881537
15,15,1e-04,0,3,0.992927761238025,0.786365435570099
15,15,1e-04,0,4,0.999999999997459,0.749178932278997
15,15,1e-04,0,5,0.999999999998855,0.747635324763214
15,1,0.000316227766016838,0,1,0.999999999908539,0.868021881164876
15,1,0.000316227766016838,0,2,0.999999999989794,0.821823342816262
15,1,0.000316227766016838,0,3,0.993042161271538,0.603151086669117
