fold,j,evr,method,split
8,1,0.20234953656229115,PCA,train
8,1,0.15871487499390505,PCA,test
8,2,0.08892511343805848,CCA,train
8,2,0.036389908242818174,CCA,test
8,2,0.2973928300180868,PCA,train
8,2,0.21635402112462335,PCA,test
8,3,0.10144210027490173,CCA,train
8,3,0.04924694169996601,CCA,test
8,3,0.3570322491300748,PCA,train
8,3,0.2757533345035792,PCA,test
9,1,0.06458409742072839,CCA,train
9,1,0.05583773497713439,CCA,test
9,1,0.19477885171087742,PCA,train
9,1,0.2246395284466264,PCA,test
9,2,0.0936020409039832,CCA,train
9,2,0.06646957480880383,CCA,test
9,2,0.27209062267947187,PCA,train
9,2,0.39649591257767147,PCA,test
9,3,0.10513182248270507,CCA,train
9,3,0.06794432291017448,CCA,test
9,3,0.33462299648540267,PCA,train
9,3,0.44578756194306707,PCA,test
10,1,0.06005707911727996,CCA,train
10,1,0.0572012857091853,CCA,test
10,1,0.19777548323882102,PCA,train
10,1,0.21709618083704257,PCA,test
10,2,0.08468650299534042,CCA,train
10,2,0.1025785003368218,CCA,test
10,2,0.2928999419097344,PCA,train
10,2,0.2699642768280624,PCA,test
10,3,0.09575368122859508,CCA,train
10,3,0.11126641132689123,CCA,test
10,3,0.35468191574358976,PCA,train
10,3,0.313815778206937,PCA,test
11,1,0.05811472674537658,CCA,train
11,1,0.05622695329596401,CCA,test
11,1,0.19754550364772153,PCA,train
11,1,0.22503881173341528,PCA,test
11,2,0.08561240191359562,CCA,train
11,2,0.06150502797279891,CCA,test
11,2,0.2896746286716656,PCA,train
11,2,0.3182599598788618,PCA,test
11,3,0.09632734348315547,CCA,train
11,3,0.06710294269605255,CCA,test
11,3,0.35208219062287893,PCA,train
11,3,0.35731890107873526,PCA,test
12,1,0.05977579717090149,CCA,train
12,1,0.06322358986323358,CCA,test
12,1,0.1977177783056627,PCA,train
12,1,0.21402372961577731,PCA,test
12,2,0.0865942053382921,CCA,train
12,2,0.08184795333327644,CCA,test
12,2,0.29374251985682115,PCA,train
12,2,0.2591524692785903,PCA,test
12,3,0.0975863715724335,CCA,train
12,3,0.09016464752889007,CCA,test
12,3,0.3563554507848749,PCA,train
12,3,0.29395369909828856,PCA,test
13,1,0.05961216646452584,CCA,train
13,1,0.03689399131497114,CCA,test
13,1,0.2016303718093353,PCA,train
13,1,0.13711949753246935,PCA,test
13,2,0.08387488342323954,CCA,train
13,2,0.09863848874701737,CCA,test
13,2,0.2970802316685472,PCA,train
13,2,0.14401376973098295,PCA,test
13,3,0.09429990479712032,CCA,train
13,3,0.11009241975155405,CCA,test
13,3,0.3569587542376069,PCA,train
13,3,0.23666388642541,PCA,test
14,1,0.05806960324093459,CCA,train
14,1,0.06081974212203715,CCA,test
14,1,0.20162293072489626,PCA,train
14,1,0.15920520391751378,PCA,test
14,2,0.08293991175493871,CCA,train
14,2,0.10079545529810115,CCA,test
14,2,0.29746583398710813,PCA,train
14,2,0.19976533374469002,PCA,test
14,3,0.09402022786835869,CCA,train
14,3,0.11307256364182598,CCA,test
14,3,0.35580324126526774,PCA,train
14,3,0.2939263558015277,PCA,test
15,1,0.06089353189281407,CCA,train
15,1,0.03773272423516638,CCA,test
15,1,0.199416059849158,PCA,train
15,1,0.18219956409280058,PCA,test
15,2,0.08991946217120282,CCA,train
15,2,0.040229698533243013,CCA,test
15,2,0.2853807066461305,PCA,train
15,2,0.31456399026109705,PCA,test
15,3,0.10027383804007546,CCA,train
15,3,0.05150482744721578,CCA,test
15,3,0.35187300865615717,PCA,train
15,3,0.3264064692213716,PCA,test
