fold,j,evr,method,split
9,2,0.1770901654227311,PCA,train
9,2,0.08338015402903337,PCA,test
9,3,0.0989457690978629,CCA,train
9,3,0.07688679035689464,CCA,test
9,3,0.2346188549055929,PCA,train
9,3,0.11743409579688686,PCA,test
9,4,0.10895268864746746,CCA,train
9,4,0.09063161623147287,CCA,test
9,4,0.2830607520819928,PCA,train
9,4,0.1607033157375548,PCA,test
10,1,0.05670526924400114,CCA,train
10,1,0.04904954327561814,CCA,test
10,1,0.10815634159937781,PCA,train
10,1,0.06453951127974997,PCA,test
10,2,0.07695473835556657,CCA,train
10,2,0.07150339456575376,CCA,test
10,2,0.17665792805714822,PCA,train
10,2,0.11013528616793583,PCA,test
10,3,0.09748016848560921,CCA,train
10,3,0.08364311188204286,CCA,test
10,3,0.2362708613620681,PCA,train
10,3,0.12412600548849424,PCA,test
10,4,0.1086728935771554,CCA,train
10,4,0.0871289996705504,CCA,test
10,4,0.2865669175210727,PCA,train
10,4,0.14178430776287795,PCA,test
11,1,0.057938929620976846,CCA,train
11,1,0.0622626659321544,CCA,test
11,1,0.10944394915745924,PCA,train
11,1,0.050077781905463616,PCA,test
11,2,0.07958105978288252,CCA,train
11,2,0.07506682417721837,CCA,test
11,2,0.17868674719523645,PCA,train
11,2,0.08574745287093664,PCA,test
11,3,0.10038657869775768,CCA,train
11,3,0.0874762970477358,CCA,test
11,3,0.23785082324054677,PCA,train
11,3,0.1093171176422409,PCA,test
11,4,0.11070813670585775,CCA,train
11,4,0.09590298797648637,CCA,test
11,4,0.28851354781199245,PCA,train
11,4,0.1277830089219892,PCA,test
12,1,0.05734812836446124,CCA,train
12,1,0.038342172349415296,CCA,test
12,1,0.10931054979478276,PCA,train
12,1,0.04821162002771631,PCA,test
12,2,0.0763113820505598,CCA,train
12,2,0.05816761419360932,CCA,test
12,2,0.17816062747341257,PCA,train
12,2,0.08755871810808441,PCA,test
12,3,0.09896454796649233,CCA,train
12,3,0.07678590986996707,CCA,test
12,3,0.234207843154143,PCA,train
12,3,0.14217176319749164,PCA,test
12,4,0.10970240685625504,CCA,train
12,4,0.0939029997061109,CCA,test
12,4,0.2839074813021637,PCA,train
12,4,0.16836985497767198,PCA,test
13,1,0.05460469519076952,CCA,train
13,1,0.08760968211285512,CCA,test
13,1,0.10664620610169444,PCA,train
13,1,0.08082250851187105,PCA,test
13,2,0.07525075478422918,CCA,train
13,2,0.10520565025693204,CCA,test
13,2,0.17437078840177522,PCA,train
13,2,0.1318277154902901,PCA,test
13,3,0.09526088651228666,CCA,train
13,3,0.12944073375807366,CCA,test
13,3,0.2319487103649493,PCA,train
13,3,0.1758843782598206,PCA,test
13,4,0.10665410150173708,CCA,train
13,4,0.13612025892014598,CCA,test
13,4,0.28166694453739644,PCA,train
13,4,0.20335370224534605,PCA,test
14,1,0.0578309209952115,CCA,train
14,1,0.05219405224857855,CCA,test
14,1,0.10894507117689053,PCA,train
14,1,0.035647380195569525,PCA,test
14,2,0.0771726565826249,CCA,train
14,2,0.07072598074057798,CCA,test
14,2,0.17702363229027368,PCA,train
14,2,0.08299399522287665,PCA,test
14,3,0.09949517837434936,CCA,train
14,3,0.08649103389920705,CCA,test
14,3,0.23486049431047296,PCA,train
14,3,0.11393870356460953,PCA,test
14,4,0.11038768058588042,CCA,train
14,4,0.0974953051210602,CCA,test
14,4,0.2847712564200185,PCA,train
14,4,0.12826229627692481,PCA,test
15,1,0.05658439833334361,CCA,train
15,1,0.08971132330123287,CCA,test
15,1,0.10700356254484275,PCA,train
15,1,0.060068310095348215,PCA,test
15,2,0.07666982796798337,CCA,train
15,2,0.10571347694089328,CCA,test
15,2,0.17514982611097707,PCA,train
15,2,0.09716326031963395,PCA,test
15,3,0.09622013373203879,CCA,train
15,3,0.12086361864787813,CCA,test
15,3,0.23200056643373254,PCA,train
15,3,0.14288341036465496,PCA,test
15,4,0.10662436108494923,CCA,train
15,4,0.13434150881239332,CCA,test
15,4,0.2810261217937176,PCA,train
15,4,0.16973908547201005,PCA,test
