fold,j,evr,method,split
7,2,0.4370255231387404,PCA,train
7,2,0.5099022756255941,PCA,test
7,3,0.15527834815700178,CCA,train
7,3,0.26679657716690386,CCA,test
7,3,0.5108078602739599,PCA,train
7,3,0.5278494366868641,PCA,test
8,1,0.09949945462993749,CCA,train
8,1,0.054226645131750524,CCA,test
8,1,0.28387075365489334,PCA,train
8,1,0.27521290974080403,PCA,test
8,2,0.13811927248523073,CCA,train
8,2,0.07227738402927782,CCA,test
8,2,0.4447816143050653,PCA,train
8,2,0.37288364537855456,PCA,test
8,3,0.153912579648802,CCA,train
8,3,0.09481234220976201,CCA,test
8,3,0.5121325564400306,PCA,train
8,3,0.48083572292720456,PCA,test
9,1,0.11675605524006051,CCA,train
9,1,0.11947890835873606,CCA,test
9,1,0.2817142593232694,PCA,train
9,1,0.27949697311284016,PCA,test
9,2,0.1497812306213475,CCA,train
9,2,0.15318784224404083,CCA,test
9,2,0.41446925527995687,PCA,train
9,2,0.5479010624118608,PCA,test
9,3,0.17179088230179784,CCA,train
9,3,0.17023199847983228,CCA,test
9,3,0.48983863979486,PCA,train
9,3,0.5870046915127453,PCA,test
10,1,0.10413896900311563,CCA,train
10,1,0.12068446471931094,CCA,test
10,1,0.28515384258816123,PCA,train
10,1,0.24861165258557738,PCA,test
10,2,0.1417015892460183,CCA,train
10,2,0.1592369330249735,CCA,test
10,2,0.4453683532766561,PCA,train
10,2,0.3587259296369432,PCA,test
10,3,0.15836726346538418,CCA,train
10,3,0.19410668224849523,CCA,test
10,3,0.5159549933453829,PCA,train
10,3,0.4311124921866037,PCA,test
11,1,0.095804368984169,CCA,train
11,1,0.12492728114110795,CCA,test
11,1,0.2811297840825834,PCA,train
11,1,0.32923220809693415,PCA,test
11,2,0.13663974593879274,CCA,train
11,2,0.13532064281152786,CCA,test
11,2,0.4401069831794632,PCA,train
11,2,0.4509126805411208,PCA,test
11,3,0.15506612101968156,CCA,train
11,3,0.15663151044208432,CCA,test
11,3,0.5109750568611277,PCA,train
11,3,0.5119938438181296,PCA,test
12,1,0.09387619231694506,CCA,train
12,1,0.11169532322711957,CCA,test
12,1,0.28392819941485026,PCA,train
12,1,0.2656194941616408,PCA,test
12,2,0.13192176082631787,CCA,train
12,2,0.12408937986733141,CCA,test
12,2,0.4451509397183875,PCA,train
12,2,0.3775804704347538,PCA,test
12,3,0.1491631341386793,CCA,train
12,3,0.1423266084443658,CCA,test
12,3,0.5176155435151341,PCA,train
12,3,0.4146322912502052,PCA,test
13,1,0.09730823958567089,CCA,train
13,1,0.10692163115920193,CCA,test
13,1,0.28405401053169005,PCA,train
13,1,0.28685447499840083,PCA,test
13,2,0.13527006833611244,CCA,train
13,2,0.1864574005148042,CCA,test
13,2,0.44419932891781316,PCA,train
13,2,0.30332068257854305,PCA,test
13,3,0.15314487638435717,CCA,train
13,3,0.19284704577371353,CCA,test
13,3,0.5138272727629289,PCA,train
13,3,0.42075187029975475,PCA,test
14,1,0.09739558872040259,CCA,train
14,1,0.11336528130186749,CCA,test
14,1,0.29368508606446786,PCA,train
14,1,0.17519055052507435,PCA,test
14,2,0.13904295836191724,CCA,train
14,2,0.15906374363408823,CCA,test
14,2,0.459748775150267,PCA,train
14,2,0.24569299730285665,PCA,test
14,3,0.154455104625539,CCA,train
14,3,0.18135232419899708,CCA,test
14,3,0.5283792213390612,PCA,train
14,3,0.3166344244576029,PCA,test
15,1,0.10136558585185451,CCA,train
15,1,0.06263105062813412,CCA,test
15,1,0.2839569262353905,PCA,train
15,1,0.22087412466304696,PCA,test
15,2,0.14474756224510169,CCA,train
15,2,0.07919825170856301,CCA,test
15,2,0.41387414982872506,PCA,train
15,2,0.5588372929641499,PCA,test
15,3,0.16493685657606372,CCA,train
15,3,0.08541020337953817,CCA,test
15,3,0.48973231533740413,PCA,train
15,3,0.5895254051413769,PCA,test
