fold,j,evr,method,split
4,3,0.15939828791211852,CCA,train
4,3,0.12226191293891972,CCA,test
4,3,0.2861467162094822,PCA,train
4,3,0.2589123364874785,PCA,test
4,4,0.17846756571384617,CCA,train
4,4,0.13221637129937888,CCA,test
4,4,0.3437865085768482,PCA,train
4,4,0.2892759062475465,PCA,test
5,1,0.08793836997070968,CCA,train
5,1,0.0918431843958249,CCA,test
5,1,0.13645251289439722,PCA,train
5,1,0.060482934113963153,PCA,test
5,2,0.11998931996735941,CCA,train
5,2,0.11561832602335426,CCA,test
5,2,0.22201750438166848,PCA,train
5,2,0.11791511275337938,PCA,test
5,3,0.16724595276908166,CCA,train
5,3,0.14169252660294768,CCA,test
5,3,0.2966374375922697,PCA,train
5,3,0.15438766589194686,PCA,test
5,4,0.18598361468309255,CCA,train
5,4,0.14811489227577815,CCA,test
5,4,0.35564827071048233,PCA,train
5,4,0.16412378099498937,PCA,test
6,1,0.09112371975912233,CCA,train
6,1,0.04340061806407655,CCA,test
6,1,0.12665776331104947,PCA,train
6,1,0.09519823689784641,PCA,test
6,2,0.1249379815914608,CCA,train
6,2,0.05546124971383532,CCA,test
6,2,0.21350981255947643,PCA,train
6,2,0.13718634433072438,PCA,test
6,3,0.1708242871488847,CCA,train
6,3,0.08760672433957002,CCA,test
6,3,0.29013796588094615,PCA,train
6,3,0.18525052641333944,PCA,test
6,4,0.18784443099924192,CCA,train
6,4,0.09466659428806061,CCA,test
6,4,0.34097181585289726,PCA,train
6,4,0.20144055020032103,PCA,test
7,1,0.08652699362060859,CCA,train
7,1,0.09617776582763239,CCA,test
7,1,0.13664919421948932,PCA,train
7,1,0.057980331664678135,PCA,test
7,2,0.11904245250634472,CCA,train
7,2,0.11720930329922238,CCA,test
7,2,0.22253586105668294,PCA,train
7,2,0.11655816863587866,PCA,test
7,3,0.16468091933535736,CCA,train
7,3,0.1382944726862201,CCA,test
7,3,0.29318000846068126,PCA,train
7,3,0.18909497506032272,PCA,test
7,4,0.184868887823248,CCA,train
7,4,0.14950346987119933,CCA,test
7,4,0.3525792189280883,PCA,train
7,4,0.19912173156989865,PCA,test
8,1,0.08748231053543319,CCA,train
8,1,0.07702574899571105,CCA,test
8,1,0.13308625189573214,PCA,train
8,1,0.09578623222170803,PCA,test
8,2,0.12611551167169185,CCA,train
8,2,0.10624596802356293,CCA,test
8,2,0.2176617309095171,PCA,train
8,2,0.16479897213329345,PCA,test
8,3,0.16848883927573377,CCA,train
8,3,0.15294621896839744,CCA,test
8,3,0.2900763092626249,PCA,train
8,3,0.21708807780348616,PCA,test
8,4,0.18578773506730278,CCA,train
8,4,0.16639310269448596,CCA,test
8,4,0.34628494253834746,PCA,train
8,4,0.27207545553843837,PCA,test
9,1,0.08813446975396594,CCA,train
9,1,0.051369401656356645,CCA,test
9,1,0.13580956324484367,PCA,train
9,1,0.04678345324339359,PCA,test
9,2,0.1184584234968537,CCA,train
9,2,0.07868288737989403,CCA,test
9,2,0.2207414561973968,PCA,train
9,2,0.11307088199203952,PCA,test
9,3,0.16277219337338875,CCA,train
9,3,0.15336822353932741,CCA,test
9,3,0.2929574883243068,PCA,train
9,3,0.17478144352684594,PCA,test
9,4,0.18009938996521513,CCA,train
9,4,0.16932972585655912,CCA,test
9,4,0.349269091765799,PCA,train
9,4,0.2174322712201847,PCA,test
10,1,0.08376701717392482,CCA,train
10,1,0.10485392350819557,CCA,test
10,1,0.1345986783187953,PCA,train
10,1,0.0792997406019422,PCA,test
10,2,0.11397333214486191,CCA,train
10,2,0.1256541138381906,CCA,test
10,2,0.21901823410415217,PCA,train
10,2,0.15543708285589009,PCA,test
10,3,0.16096403686568453,CCA,train
10,3,0.17155452545960284,CCA,test
10,3,0.29351377819368363,PCA,train
10,3,0.18944349336377578,PCA,test
10,4,0.17992429494248308,CCA,train
10,4,0.17510399414493147,CCA,test
10,4,0.3515526070310162,PCA,train
10,4,0.2092038393119329,PCA,test
11,1,0.08684446678859636,CCA,train
11,1,0.08852816062118361,CCA,test
11,1,0.1356548538106586,PCA,train
11,1,0.07149036611649247,PCA,test
11,2,0.1174565110458157,CCA,train
11,2,0.12315920480518779,CCA,test
11,2,0.22250074085596802,PCA,train
11,2,0.1152284322768569,PCA,test
11,3,0.16508925225671156,CCA,train
11,3,0.141906070130299,CCA,test
11,3,0.29775867961556157,PCA,train
11,3,0.14724088779502736,PCA,test
11,4,0.1835526931976946,CCA,train
11,4,0.1584412722925019,CCA,test
11,4,0.35688472142168404,PCA,train
11,4,0.15778240643858119,PCA,test
12,1,0.08635146114289446,CCA,train
12,1,0.07059711483557526,CCA,test
12,1,0.13559697172844112,PCA,train
12,1,0.06153565847056191,PCA,test
12,2,0.1180407002981058,CCA,train
12,2,0.09975866103800607,CCA,test
12,2,0.22096643478303313,PCA,train
12,2,0.12102897483394384,PCA,test
12,3,0.16406873570897837,CCA,train
12,3,0.1553514991179171,CCA,test
12,3,0.29288648612476487,PCA,train
12,3,0.1852138293863742,PCA,test
12,4,0.18239701640404324,CCA,train
12,4,0.17425732147982417,CCA,test
12,4,0.3489785701474083,PCA,train
12,4,0.2289153323694795,PCA,test
13,1,0.08264045123944268,CCA,train
13,1,0.14443307519340887,CCA,test
13,1,0.13096168561969176,PCA,train
13,1,0.13173408043536183,PCA,test
13,2,0.12097594392897179,CCA,train
13,2,0.18881610356283865,CCA,test
13,2,0.2151764360576785,PCA,train
13,2,0.20278934324368236,PCA,test
13,3,0.16056381104674242,CCA,train
13,3,0.23897195710591887,CCA,test
13,3,0.28731057631684304,PCA,train
13,3,0.28677981075417286,PCA,test
13,4,0.17921417383594795,CCA,train
13,4,0.2588731662952414,CCA,test
13,4,0.3448389835673489,PCA,train
13,4,0.3062725643495425,PCA,test
14,1,0.086650270771554,CCA,train
14,1,0.07472795558566363,CCA,test
14,1,0.13508770056381406,PCA,train
14,1,0.04906743466107593,PCA,test
14,2,0.12063622676790621,CCA,train
14,2,0.10209708864129159,CCA,test
14,2,0.21951682790996674,PCA,train
14,2,0.12129554528085625,PCA,test
14,3,0.16335094470601785,CCA,train
14,3,0.149599315859956,CCA,test
14,3,0.2922952937678121,PCA,train
14,3,0.17920371083181577,PCA,test
14,4,0.18153232460022065,CCA,train
14,4,0.18091442462117713,CCA,test
14,4,0.34982018012884153,PCA,train
14,4,0.1924809079664627,PCA,test
15,1,0.08584281469404707,CCA,train
15,1,0.11579366007186784,CCA,test
15,1,0.13363553083663765,PCA,train
15,1,0.06625966949065686,PCA,test
15,2,0.11980467627146207,CCA,train
15,2,0.1649784206672362,CCA,test
15,2,0.21831747426426995,PCA,train
15,2,0.12795993541291195,PCA,test
15,3,0.1610471668104872,CCA,train
15,3,0.19416996241238113,CCA,test
15,3,0.29029552929203395,PCA,train
15,3,0.20489062552002985,PCA,test
15,4,0.17811179756617332,CCA,train
15,4,0.2234541423485364,CCA,test
15,4,0.34712840589696947,PCA,train
15,4,0.2256871850400216,PCA,test
