"sample_id","depth","temperature","po4","no2","salinity","oxygen"
"88",6.0535,20.3973,0,0.09,36.5996,212.5623
"89",734.339983,10.565417,1.36,0.01,35.375245,155.156833
"90",5.530667,18.732683,0.06,0.25,36.4072,220.189917
"91",39.779235,17.663574,0,0.04,36.240197,230.132971
"92",5.530167,17.583075,0.01,0.04,36.3123,228.375583
"93",77.569937,16.751066,0.01,0.01,36.162887,228.54515
"94",5.402083,17.260108,0.01,0.02,36.23775,232.053333
"96",791.769433,10.21177,1.12,0.011,35.539507,175.306683
"97",5.413667,14.28065,0.16,0.31,35.986042,243.148
"95",23.856889,14.306744,0.17,0.32,35.998428,239.361944
"1",61.635033,18.36839,0.013,0.025,37.89241,237.8893
"2",5.425667,21.4395,0.026,0.018,37.89245,207.791417
"3",55.15925,15.705783,0.01,0.01,38.395417,224.266917
"4",5.472833,17.636575,0.01,0.01,38.187633,220.000333
"5",51.695136,15.161277,0.07,0.07,38.475705,229.547682
"6",5.516,18.342533,0.01,0,38.182917,218.016833
"7",69.071313,18.979535,0,0.01,39.255952,218.132538
"8",5.3955,20.45375,0,0,39.425058,207.567167
"9",5.430083,25.0621,0.024,0.014,39.981867,188.763583
"10",85.473667,26.050367,0.025,0.01,40.196433,179.968
"11",5.425333,25.824383,0.018,0.014,39.74725,188.416583
"12",5.374,27.329517,0.053,0,38.937417,182.812167
"13",60.130917,27.589917,0.09,0.27,38.916583,175.384083
"14",5.427333,27.59865,0.19,0.02,38.646858,184.061167
"15",17.39175,25.37395,0.51,0.51,36.549267,211.606583
"16",5.472417,25.581433,0.37,0.05,36.530058,210.8972
"17",595.10607,12.066048,2.91,0.07,35.693546,1.63999
"19",337.720967,14.987618,2.64,0.69,36.021302,2.369225
"20",5.454333,26.2314,0.32,0.01,36.617917,199.9355
"21",25.312583,26.812225,0.26,0.02,36.332317,192.95875
"22",268.205817,15.614195,2.64,2.07,35.901885,2.303017
"23",58.151,27.117663,0.34,0.07,36.496162,148.328125
"24",5.485917,29.089367,0.14,0,36.024883,187.42925
"25",79.02115,27.723425,0.34,0.15,35.103505,132.77885
"26",5.417833,29.980283,0.08,0,34.56155,189.25475
"27",5.475583,30.496383,1.94,0.02,35.091133,185.243833
"28",5.437333,29.818233,0.08,0.01,34.1689,187.2575
"31",79.0177,24.89426,0.18,0.03,34.910755,192.55925
"32",5.539583,27.8684,0.12,0,34.566667,191.68
"100",5.56225,26.965433,0,0.02,35.05375,190.05375
"101",67.071075,25.308318,0,0.03,35.163345,185.01
"103",63.6355,22.250309,0.08,0,35.335545,207.446227
"104",990.7785,7.6502,1.12,0,34.57915,193.011
"105",5.494917,22.165567,0.08,0,35.334717,210.00775
"109",28.633,15.01895,0.37,0.26,35.3315,240.4135
"110",5.39475,15.033492,0.34,0.3,35.323317,238.916333
"111",5.453583,12.83445,1.016,0.171,34.845292,249.351417
"112",40.268917,16.787411,0.227,0.285,35.687803,231.683361
"113",722.701418,7.026748,1.529,0.003,34.477664,195.168847
"114",5.427417,16.832058,0.229,0.25,35.68685,231.914833
"115",791.586483,4.216697,2.522,0.01,34.443883,161.730633
"116",5.396667,19.776808,0.364,0.054,36.376225,215.650833
"117",95.403276,24.112672,0.143,0.011,36.603343,194.428431
"118",792.736375,4.673875,2.618,0.007,34.472575,143.1955
"119",5.8434,25.02619,0.104,0.003,36.42324,199.1195
"120",147.9825,21.643283,0.038,0.015,36.724683,203.814833
"121",792.78325,4.749588,0.937,0.001,34.369275,192.1655
"122",5.46125,23.349542,0.056,0.001,37.101367,206.194333
"123",118.275667,19.30925,0,0.053,36.27495,217.140667
"124",792.738,5.8659,1.946,0,34.3629,214.842
"125",5.5735,19.854083,0,0,36.32425,221.47475
"126",41.766912,6.975635,1.416,0.135,34.057594,306.211529
"127",5.480333,7.321517,1.301,0.151,34.048642,305.012167
"128",5.9026,1.84402,1.723,0.266,33.71972,338.2982
"129",87.438325,-0.78154,2.309,0.06,34.319478,325.402987
"130",783.816075,0.45883,2.614,0.018,34.67996,203.8394
"131",5.9412,0.67108,2.111,0.107,34.35388,343.4373
"132",33.7675,16.40115,1.07,0.37,34.267975,237.215
"133",5.331833,18.014508,0.52,0.01,34.295417,244.861667
"134",5.430083,21.131962,0.28,0,34.682604,219.174917
"135",5.51125,23.799133,0.16,0,35.766117,204.13825
"136",183.31212,20.171605,0.1,0.02,35.845669,210.5781
"137",481.0982,8.113126,2.02,0,34.362649,155.55759
"138",5.558167,25.14875,0.2,0,36.402683,200.538167
"139",5.398167,23.788833,0.29,0,36.129117,203.995417
