Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
MJ030-1-barcode35-umi2312bins-ubs-92,Bacteria,Verrucomicrobiota,Kiritimatiellia,Kiritimatiellales,Pontiellaceae,Pontiella,Pontiella sp003230915,1.0
MJ030-1-barcode35-umi23609bins-ubs-21,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Halieaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi23620bins-ubs-23,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Aminicenantaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi23760bins-ubs-22,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Poriferihabitantaceae,Spongiihabitans,Spongiihabitans thiooxidans,1.0
MJ030-1-barcode35-umi2376bins-ubs-96,Bacteria,Pseudomonadota,Gammaproteobacteria,Unassigned,Unassigned,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi2406bins-ubs-92,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Alteromonadaceae,Paraglaciecola,Paraglaciecola psychrophila,1.0
MJ030-1-barcode35-umi24474bins-ubs-24,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales_505101,Methyloligellaceae,UBA2767,Filomicrobium fusiforme,1.0
MJ030-1-barcode35-umi24800bins-ubs-23,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Poriferihabitantaceae,Arenicella,Arenicella xantha,1.0
MJ030-1-barcode35-umi24887bins-ubs-20,Bacteria,Acidobacteriota,UBA6911,UBA6911,UBA6911,Gp18-AA60,Unassigned,1.0
MJ030-1-barcode35-umi24920bins-ubs-21,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,DSM-6294_637244,Litoribrevibacter,Unassigned,1.0
MJ030-1-barcode35-umi24946bins-ubs-21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_737866,Alteromonadaceae,Colwellia_A_665065,Colwellia_A_665065 marinimaniae,1.0
MJ030-1-barcode35-umi24986bins-ubs-21,Bacteria,Pseudomonadota,Gammaproteobacteria,DSM-19610,DSM-19610,Thiogranum,Unassigned,1.0
MJ030-1-barcode35-umi25002bins-ubs-25,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Halieaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi26175bins-ubs-20,Bacteria,Pseudomonadota,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,Unassigned,1.0
MJ030-1-barcode35-umi26916bins-ubs-19,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_628887,Azotimanducaceae_A_628887,SZUA-309,SZUA-309 sp003228415,1.0
MJ030-1-barcode35-umi26958bins-ubs-18,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,SMVS01,Unassigned,1.0
MJ030-1-barcode35-umi27005bins-ubs-23,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,W260,W260 sp008725655,1.0
MJ030-1-barcode35-umi2716bins-ubs-88,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Cellvibrionaceae,Pseudoteredinibacter,Unassigned,1.0
MJ030-1-barcode35-umi27542bins-ubs-19,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Aridibacter_431435,Aridibacter sp003385635,1.0
MJ030-1-barcode35-umi27918bins-ubs-11,Bacteria,Myxococcota_A_473307,UBA4151,UBA4151,UBA4151,CACGMS01,Unassigned,1.0
MJ030-1-barcode35-umi27978bins-ubs-19,Bacteria,Myxococcota_A_473307,Polyangia_463783,Polyangiales,Polyangiaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi28026bins-ubs-20,Bacteria,Bdellovibrionota_473306,Oligoflexia,Oligoflexales,Oligoflexaceae,Oligoflexus,Oligoflexus tunisiensis,1.0
MJ030-1-barcode35-umi2819bins-ubs-87,Bacteria,Pseudomonadota,Gammaproteobacteria,UBA12402,UBA12402,1-14-0-20-46-22,Unassigned,1.0
MJ030-1-barcode35-umi28324bins-ubs-19,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,GCA-2746365 sp002746365,1.0
MJ030-1-barcode35-umi30002bins-ubs-18,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae_486827,Erythrobacter_484373,Erythrobacter longus,1.0
MJ030-1-barcode35-umi30370bins-ubs-18,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Unassigned,1.0
MJ030-1-barcode35-umi30676bins-ubs-16,Bacteria,Pseudomonadota,Gammaproteobacteria,Woeseiales,Woeseiaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi30801bins-ubs-16,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi31337bins-ubs-17,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,SMVS01,Unassigned,1.0
MJ030-1-barcode35-umi31817bins-ubs-17,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,JAACDM01,Unassigned,1.0
MJ030-1-barcode35-umi3190bins-ubs-80,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,UA16,ASP10-05a,Unassigned,1.0
MJ030-1-barcode35-umi3191bins-ubs-77,Bacteria,Desulfobacterota_G_459543,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfocapsa,Desulfocapsa sulfexigens,1.0
MJ030-1-barcode35-umi31999bins-ubs-16,Bacteria,Pseudomonadota,Gammaproteobacteria,Arenicellales,Poriferihabitantaceae,Spongiihabitans,Unassigned,1.0
MJ030-1-barcode35-umi3201bins-ubs-79,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,AU392,AU392 sp003443635,1.0
MJ030-1-barcode35-umi3255bins-ubs-80,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_650612,Cellvibrionaceae,Saccharophagus,Unassigned,1.0
MJ030-1-barcode35-umi32774bins-ubs-17,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,Unassigned,1.0
MJ030-1-barcode35-umi32841bins-ubs-15,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,SZUA-36,SZUA-36,SZUA-36 sp003233115,1.0
MJ030-1-barcode35-umi32874bins-ubs-15,Bacteria,Pseudomonadota,Gammaproteobacteria,SZUA-229,SZUA-229,GCA-2746365,GCA-2746365 sp002746365,1.0
MJ030-1-barcode35-umi33097bins-ubs-16,Bacteria,Pseudomonadota,Gammaproteobacteria,PIVX01,PIVX01,PIVX01,PIVX01 sp003353785,1.0
MJ030-1-barcode35-umi33189bins-ubs-16,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Unassigned,1.0
MJ030-1-barcode35-umi33263bins-ubs-15,Bacteria,Pseudomonadota,Gammaproteobacteria,Woeseiales,Woeseiaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi33332bins-ubs-16,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter,Unassigned,1.0
MJ030-1-barcode35-umi3344bins-ubs-80,Bacteria,Bdellovibrionota_473306,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi33743bins-ubs-17,Bacteria,Pseudomonadota,Alphaproteobacteria,Parvibaculales,CGMCC-115125,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi34089bins-ubs-15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales_B_877923,Flavobacteriaceae,Cochleicola,Cochleicola gelatinilyticus,1.0
MJ030-1-barcode35-umi34243bins-ubs-18,Bacteria,Pseudomonadota,Gammaproteobacteria,GCA-2729495,GCA-2729495,GCA-2729495,Unassigned,1.0
MJ030-1-barcode35-umi3441bins-ubs-75,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales_A_641035,DSM-6294_637265,Unassigned,Unassigned,1.0
MJ030-1-barcode35-umi34642bins-ubs-16,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter sp009184395,1.0
MJ030-1-barcode35-umi34756bins-ubs-15,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Cycloclasticaceae,Unassigned,Unassigned,1.0
