canonical_direction,fold,shuffle_id,tau_D
1,3,41,5.024422944265651
1,3,42,4.855054475570508
1,3,43,5.0012386427735525
1,3,44,4.970162584552369
1,3,45,4.7985822952018715
1,3,46,4.728588953774136
1,3,47,4.8030211790520765
1,3,48,5.050321587770625
1,3,49,4.716184631217086
1,3,50,4.9974665219426555
1,3,51,4.810944071971912
1,3,52,5.053761427735517
1,3,53,4.824896427881801
1,3,54,4.856236609566998
1,3,55,4.845838210649502
1,3,56,5.369720367320069
1,3,57,4.954831521357518
1,3,58,5.1645500725570495
1,3,59,5.1478633048566405
1,3,60,4.848469044909303
1,3,61,4.913915393212404
1,3,62,4.826463808952603
1,3,63,5.2130422442949085
1,3,64,4.855492684025745
1,3,65,4.674475412814511
1,3,66,5.1717223184610885
1,3,67,5.021819929490929
1,3,68,4.806889902282037
1,3,69,4.658570608104154
1,3,70,4.917707368636628
1,3,71,5.013778447045055
1,3,72,4.878754886483322
1,3,73,5.22669186000585
1,3,74,4.718412781597424
1,3,75,4.826009941193679
1,3,76,4.98429738838502
1,3,77,4.879122744880046
1,3,78,4.761950986688121
1,3,79,5.078830855032182
1,3,80,4.913536826945582
1,3,81,5.1767031060561735
1,3,82,4.916659753218256
1,3,83,4.887450587185489
1,3,84,4.8806102984201285
1,3,85,4.7563162428320656
1,3,86,4.974448521357518
1,3,87,4.832824578993562
1,3,88,5.00022248098303
1,3,89,4.847159470157987
1,3,90,4.847990306026917
1,3,91,5.360226370538326
1,3,92,4.92795049634289
1,3,93,4.911987938999414
1,3,94,4.849890902282036
1,3,95,5.090194114540666
1,3,96,5.025763843036863
1,3,97,5.021766162814511
1,3,98,4.842141072410766
1,3,99,4.963156734201287
1,3,100,4.763232753803393
1,4,1,5.2008939463136326
1,4,2,4.950163954359273
1,4,3,4.970743417203042
1,4,4,4.975440923785839
1,4,5,4.7942028014921
1,4,6,5.009942780280865
1,4,7,4.891141826799298
1,4,8,5.00091475833821
1,4,9,4.778279737565828
1,4,10,4.676746107811585
1,4,11,4.979671716354592
1,4,12,5.072076735517845
1,4,13,4.7561640359859565
1,4,14,5.023203285839671
1,4,15,4.969298720157986
1,4,16,4.915701954505558
1,4,17,4.828611042276184
1,4,18,5.004324009215916
1,4,19,4.883305654330017
1,4,20,4.841489885898185
1,4,21,4.781683849180808
1,4,22,4.933960933440608
1,4,23,4.846554252047981
1,4,24,4.903919604885898
1,4,25,4.966183346108835
1,4,26,4.901590880193094
1,4,27,5.005986925248683
1,4,28,4.997396703335282
1,4,29,5.0971742783791685
1,4,30,5.00681321094207
1,4,31,4.884689892334698
1,4,32,4.9935895349619654
1,4,33,5.048002460210649
1,4,34,5.09001110898186
1,4,35,4.995064724839087
1,4,36,4.997994996050322
1,4,37,4.755208071094206
1,4,38,5.0573667950555885
1,4,39,4.953698869075482
1,4,40,5.243556686805148
1,4,41,5.048341191193679
1,4,42,5.03913099268578
1,4,43,4.903164022674078
1,4,44,4.835595130924516
1,4,45,5.0253455160912806
1,4,46,4.833596210649502
1,4,47,4.857647782036278
1,4,48,4.74998366647162
1,4,49,4.8063157315681675
1,4,50,5.199314869660619
1,4,51,4.778761415886483
1,4,52,5.20799317715038
1,4,53,4.716673401550613
1,4,54,4.977577976155646
1,4,55,4.837317013458161
1,4,56,5.227843865564656
1,4,57,4.959232886483323
1,4,58,5.279739027794031
1,4,59,5.015187892919836
1,4,60,4.905620456407255
1,4,61,5.460677511556464
1,4,62,4.874365755558805
1,4,63,4.890724530866003
1,4,64,4.827524668080748
1,4,65,4.894877433586893
1,4,66,4.922501813926272
1,4,67,4.923567084991222
1,4,68,4.82025892817437
1,4,69,4.738907398478642
1,4,70,4.884459807636044
1,4,71,5.099106636337038
1,4,72,4.846090918227032
1,4,73,5.1104810105324745
1,4,74,4.923736521942656
1,4,75,4.766387761263897
1,4,76,4.734608911790519
1,4,77,5.1231396369221764
1,4,78,4.778599218695143
1,4,79,4.897008760678758
1,4,80,5.174201761263896
1,4,81,5.201891653013458
1,4,82,5.070211370099473
1,4,83,4.731745287302515
1,4,84,4.845637819338795
1,4,85,4.877262601813926
1,4,86,4.88407975438853
1,4,87,4.928491319777647
1,4,88,4.89598922162083
1,4,89,5.008450237565827
1,4,90,4.787476793739028
1,4,91,5.212150822849619
1,4,92,5.075478788619075
1,4,93,4.910960398478642
1,4,94,5.02729700906963
1,4,95,5.256093903744879
1,4,96,4.880665195289643
1,4,97,5.105214748537156
1,4,98,4.751075826799297
1,4,99,5.157753677589232
1,4,100,4.735542558367465
1,5,1,5.422921425102398
1,5,2,4.818250438121707
1,5,3,4.9606372817437085
