canonical_direction,fold,shuffle_id,tau_D
1,2,9,4.134501367060954
1,2,10,4.114190123667944
1,2,11,4.172866116954389
1,2,12,3.977122450660698
1,2,13,4.008480094789003
1,2,14,3.949937026694373
1,2,15,4.0704725472080145
1,2,16,3.9755825491261714
1,2,17,3.9976614849211414
1,2,18,3.947819757193094
1,2,19,4.059773644394714
1,2,20,4.14220793606138
1,2,21,3.8942976515345267
1,2,22,4.079312841378942
1,2,23,3.934343732630008
1,2,24,3.8916328615728895
1,2,25,4.067738488864024
1,2,26,3.961922248987639
1,2,27,3.918078458546462
1,2,28,4.053791653132992
1,2,29,3.875888567455243
1,2,30,3.9899625384164525
1,2,31,3.9408493588554983
1,2,32,4.001056186967178
1,2,33,4.052653540068201
1,2,34,3.9117244223678602
1,2,35,3.9127762596973565
1,2,36,4.043880002877237
1,2,37,3.9881796567561802
1,2,38,3.935391194426684
1,2,39,3.8893876189258307
1,2,40,3.9651344739982948
1,2,41,3.9765762210144926
1,2,42,3.9147637129688833
1,2,43,4.006074294064364
1,2,44,4.049687505701193
1,2,45,4.013348103740408
1,2,46,3.810267081521739
1,2,47,4.040808807757886
1,2,48,3.868151539908355
1,2,49,3.8836051490302643
1,2,50,3.9716542243179878
1,2,51,3.9284905108695645
1,2,52,4.031952971334185
1,2,53,3.9403435362318833
1,2,54,3.882934149829497
1,2,55,3.961806303548593
1,2,56,4.079828827791986
1,2,57,4.1101374702152595
1,2,58,4.003047485080989
1,2,59,3.9247763028559244
1,2,60,3.99843510230179
1,2,61,4.006032217231458
1,2,62,3.9470669778346115
1,2,63,4.020803201992754
1,2,64,4.016999176736999
1,2,65,4.006937325074594
1,2,66,4.089096794543904
1,2,67,3.936834191762574
1,2,68,3.911497338182012
1,2,69,4.01378401198849
1,2,70,3.8928403362638533
1,2,71,4.046641627610827
1,2,72,4.087359671302216
1,2,73,3.9854593312020454
1,2,74,3.9501812683290702
1,2,75,3.8736759241794547
1,2,76,3.964389976289428
1,2,77,4.016473488704177
1,2,78,4.012455885070332
1,2,79,3.828023948156436
1,2,80,4.05264566139173
1,2,81,3.9539942683290707
1,2,82,3.860918208333333
1,2,83,3.9516188567774932
1,2,84,4.100439156383205
1,2,85,4.029635386082694
1,2,86,4.132611339567349
1,2,87,3.951155874254049
1,2,88,4.159866923540068
1,2,89,3.989517129102728
1,2,90,4.044828058716965
1,2,91,3.9240912649722928
1,2,92,4.0996124494884905
1,2,93,4.0465493327472295
1,2,94,4.089444554401108
1,2,95,3.882100141943734
1,2,96,4.066101030743819
1,2,97,3.932642239929667
1,2,98,3.9469380661231885
1,2,99,4.019193954230605
1,2,100,3.847689334878516
1,3,1,3.9807697079603575
1,3,2,4.048432600330349
1,3,3,4.018579082747229
1,3,4,3.9648816140238696
1,3,5,4.026251460411338
1,3,6,3.8475404568947136
1,3,7,4.1016530493393
1,3,8,3.925124896046462
1,3,9,4.0943743477728045
1,3,10,4.073047105392157
1,3,11,4.217293460837595
1,3,12,3.9228571067242113
1,3,13,3.897646576513214
1,3,14,4.0664695871696495
1,3,15,4.026487860187554
1,3,16,3.964170833599744
1,3,17,3.9828654800724634
1,3,18,4.044610625692668
1,3,19,3.9179627535699058
1,3,20,4.066407235187554
1,3,21,3.96887194922208
1,3,22,4.135222136562233
1,3,23,4.086618805360188
1,3,24,3.889517606191389
1,3,25,4.101762435102302
1,3,26,3.9029556774829492
1,3,27,3.9536151997016193
1,3,28,4.070184542945439
1,3,29,3.9353784167199484
1,3,30,3.9390415769927527
1,3,31,3.913594080456095
1,3,32,3.9204832175511513
1,3,33,4.033119237585251
1,3,34,3.9017684449062235
1,3,35,3.8904488594416025
1,3,36,4.036633275415601
1,3,37,4.069299179720801
1,3,38,3.875610197943308
1,3,39,3.9588197411551573
1,3,40,3.9442318511295817
1,3,41,4.099433080402814
1,3,42,3.9102266465260014
1,3,43,4.026520393702045
1,3,44,4.021751136668797
1,3,45,4.042353105818414
1,3,46,3.772261354646206
1,3,47,4.0280717461104
1,3,48,3.957384844416027
1,3,49,3.858265094043052
1,3,50,3.988676459185848
1,3,51,3.9655077299658985
1,3,52,4.074851140505115
1,3,53,3.98040456495098
1,3,54,4.1126534824701615
1,3,55,4.251311745151321
1,3,56,4.111650041826513
1,3,57,4.0552127265558395
1,3,58,4.043370950607416
1,3,59,4.008026628729753
1,3,60,3.9017791340579704
1,3,61,4.052958060368712
1,3,62,4.067797395886616
1,3,63,4.163750600117221
1,3,64,3.9667030630328215
